idx,device_id,latitude,longitude,snapshot_datetime,collector_id,destination_request_id,snapshot_datetime_unix
-MsefKQHaSk8ZxWPOGuO,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:30.098128,51,51.0,1641400710
-MsefLkPOvp3qVkEy9Y0,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:35.545715,51,51.0,1641400715
-MsefMpfS7TPNd9f9IIc,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:38:39.979095,51,51.0,1641400719
-MsefRuWXsdq1lzvoBoU,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:00.769463,51,51.0,1641400740
-MsefSvcrR1A8MzlZhVh,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:04.935725,51,51.0,1641400744
-MsefU9EEzwzMl3N9DGi,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:09.966910,51,51.0,1641400749
-MsefVZ1E2acUODVOBEp,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:15.714004,51,51.0,1641400755
-MsefWkMPvAfYHT8O5MX,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:20.598483,51,51.0,1641400760
-MsefXoLvmnU6puR1Xhu,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:24.950103,51,51.0,1641400764
-MsefZDSGDJJGc1ipj6k,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:30.717035,51,51.0,1641400770
-Msef_FU8T3unn9ZRlCX,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:34.942873,51,51.0,1641400774
-MsefaU7wtvSeOwkr25G,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:39.975882,51,51.0,1641400779
-Msefbh57s3a-xXkfuoM,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:44.966210,51,51.0,1641400784
-Msefd2rGtZrubJvTJlj,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:50.518667,51,51.0,1641400790
-Msefe8YbXhI_f5YuO5i,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:39:54.978947,51,51.0,1641400794
-MseffOBtBOAakk2FMZR,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:00.076155,51,51.0,1641400800
-MsefgaE_CkQF4gaM-46,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:05.006678,51,51.0,1641400805
-MsefhpJVFxUgciuBYpH,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:10.068046,51,51.0,1641400810
-Msefj0ihQYa0SDjVMjh,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:14.958205,51,51.0,1641400814
-MsefkFB9CpI65bI5iag,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:19.980315,51,51.0,1641400819
-MsefljGwC6TLbphepq0,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:26.064763,51,51.0,1641400826
-Msefmfc3wszOF3eliDM,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:29.927944,51,51.0,1641400829
-MsefnxaD8w5PZCz5kux,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:35.174453,51,51.0,1641400835
-Msefp7xRpikUgzAS5AF,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:39.996965,51,51.0,1641400839
-MsefqOQojFmsUkXhVus,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:45.147571,51,51.0,1641400845
-Msefr_GUphTYxph8vKf,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:50.001181,51,51.0,1641400850
-MsefsmURl8o88by7Vbw,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:40:54.943204,51,51.0,1641400854
-Msefu6pUIaG1zPeCuZB,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:00.404778,51,51.0,1641400860
-MsefvEH4h82eLnb_PxK,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:04.978059,51,51.0,1641400864
-MsefwT6EPSiKQCs_ByL,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:10.023167,51,51.0,1641400870
-MsefxhOOz9KKHbPvpV8,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:15.097294,51,51.0,1641400875
-Msefyw1hWuG9MW8yNj9,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:20.129634,51,51.0,1641400880
-Mseg-OGXY8uk2Q40zut,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:26.097518,51,51.0,1641400886
-Mseg0OKAQAMLW3kK-2h,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:30.197053,51,51.0,1641400890
-Mseg1YZX9BlZuzxmpN9,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:34.947112,51,51.0,1641400894
-Mseg6_jF81K5b5QLI-X,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:41:55.566629,51,51.0,1641400915
-Mseg7lWfDrC8OzN7qQD,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:00.416676,51,51.0,1641400920
-Mseg8sLKqGhY9-2oDhk,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:04.950642,51,51.0,1641400924
-MsegD_R4zAuUpKqMIkB,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:24.217181,51,51.0,1641400944
-MsegEnhpSCg9X_E2L_f,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:29.229269,51,51.0,1641400949
-MsegJrT1gclsCt46PCO,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:49.948010,51,51.0,1641400969
-MsegL5eYwDs-55xa03g,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:55.017952,51,51.0,1641400975
-MsegMJ4_0yYcVuPh9FG,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:42:59.972777,51,51.0,1641400979
-MsegNVv33_Fnw612QYF,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:04.891749,51,51.0,1641400984
-MsegOjQFCgMcwENYCiE,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:09.915435,51,51.0,1641400989
-MsegPyi6FXMYMlyR4We,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:14.989752,51,51.0,1641400994
-MsegRA0NoBEqPV1frL3,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:19.872570,51,51.0,1641400999
-MsegSOUl59nHY5K5Ei8,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:24.895568,51,51.0,1641401004
-MsegTcXVkT2CF03ZNSu,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:29.954633,51,51.0,1641401009
-MsegV-_FAINNXByL36D,b8e1d679ea29c711,27.2040375,31.1748072,2022-01-05 16:43:35.589629,51,51.0,1641401015
